title;description;url;image
To-do App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/EngJasmine/my_web_todo_app.git;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/EngJasmine/portfolioYasmina.git;2.png
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/EngJasmine/PDFTemplate.git;3.png
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/EngJasmine/invoiceGenerator.git;4.png
Positive News Script;A program that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/EngJasmine/PositiveNewsScript.git;5.png
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/EngJasmine/WeatherAPI.git;6.png
Password Checker;A web application that allows users to check if their password has been previously exposed in data breaches.;https://github.com/EngJasmine/PassWordChecker.git;7.png
Hacker News Application;A web application built that scrapes recent news articles from a website and displays them in a user-friendly interface.;https://github.com/EngJasmine/hackerNewswebpage.git;8.png
Trip Checker;A web application that helps users plan, track, and manage their travel experiences.;https://github.com/EngJasmine/TripTracker-django-auth.git;9.png
Link Tree;A webpage is a simple, customizable website where users can display multiple links to their social media profiles, websites, and other important resources.;https://github.com/EngJasmine/LinkTree.git;10.png
Links Shortener Service;A Link.ly is a URL shortening service that allows users to shorten long URLs into more manageable, condensed links.;https://github.com/EngJasmine/LinkShortenerService.git;11.png
Job Board;A Job Board web application developed with Django where job posts are displayed for users to browse. The posts include details like job title, description, company, location, and required skills.;https://github.com/EngJasmine/jobBoard.git;12.png
QR Scan Generator;A web application that allows users to easily create QR codes linked to any URL.;https://github.com/EngJasmine/QRscangenerator.git;13.png
Files Compressor interface;A file compressor interface that allows users to reduce the size of files by using compression algorithms.;https://github.com/EngJasmine/files_compressor.git;14.png
Files Extractor interface;A A user-friendly interface where users can extract files from a compressed folder/file.;https://github.com/EngJasmine/filesExtractor.git;15.png
